TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory
25,1458493498,43.0344318,-76.1298367,132.2941184,1,1,-1
25,72524579,43.0374925,-76.1331839,127.7865688,1,1,-1
26,1458493498,43.0343288,-76.1296662,132.4387615,1,1,-1
26,60575480,43.0498225,-76.2413089,137.3678832,9,1,-1
26,1708706542,43.0285285,-76.038837,999,-1,1,-1
26,757675095,43.0758346,-76.1745099,125.8816272,7,1,-1
26,1737904745,43.0753062,-76.1729434,124.6829703,7,1,-1
26,234184799,43.035496,-76.1288558,131.5245129,1,1,-1
26,72524579,43.0373311,-76.1331645,128.0212939,1,1,-1
27,234184799,43.0353827,-76.128698,131.6912018,1,1,-1
27,60575480,43.0497537,-76.241109,137.3154588,9,1,-1
27,1458493498,43.0342256,-76.1294959,132.5824576,1,1,-1
27,1708706542,43.0285074,-76.039056,999,-1,1,-1
27,757675095,43.0757311,-76.1743398,125.6597011,7,1,-1
27,72524579,43.0371697,-76.133145,128.2519259,1,1,-1
27,1737904745,43.075159,-76.1728508,138.791505,7,1,-1
28,72524579,43.0370083,-76.1331257,128.4786031,1,1,-1
28,1708706542,43.0284863,-76.0392749,999,-1,1,-1
28,1458493498,43.0341223,-76.1293258,132.7252004,1,1,-1
28,757675095,43.0756276,-76.1741697,125.4361662,7,1,-1
28,234184799,43.0352692,-76.1285404,131.856147,1,1,-1
28,60575480,43.0496847,-76.240909,137.2636496,9,1,-1
28,1737904745,43.0750119,-76.1727584,124.1025906,7,1,-1
29,1708706542,43.0284653,-76.0394939,999,-1,1,-1
29,1737904745,43.0748647,-76.1726659,123.803842,7,1,-1
29,757675095,43.0755241,-76.1739997,125.2111252,7,1,-1
29,1458493498,43.0340188,-76.1291558,132.8669848,1,1,-1
29,60575480,43.0496158,-76.2407091,137.2124736,9,1,-1
29,234184799,43.0351555,-76.128383,132.0193744,1,1,-1
29,72524579,43.0368469,-76.1331063,128.7014567,1,1,-1
30,72524579,43.0366855,-76.133087,128.920612,1,1,-1
30,234184799,43.0350417,-76.1282257,132.18091,1,1,-1
30,1458493498,43.0339152,-76.128986,133.007807,1,1,-1
30,757675095,43.0754205,-76.1738297,124.9846964,7,1,-1
30,60575480,43.0495468,-76.2405092,137.1619491,9,1,-1
30,1737904745,43.0747175,-76.1725736,123.4991529,7,1,-1
30,1708706542,43.0284442,-76.0397129,999,-1,1,-1
31,1458493498,43.0338114,-76.1288164,133.1476643,1,1,-1
31,72524579,43.0365241,-76.1330677,999,-1,1,-1
31,1737904745,43.0745703,-76.1724813,123.1883441,7,1,-1
31,234184799,43.0349278,-76.1280687,132.3407798,1,1,-1
31,757675095,43.0753169,-76.1736598,124.7570154,7,1,-1
31,1708706542,43.0284231,-76.0399319,999,-1,1,-1
31,60575480,43.0494778,-76.2403093,137.1120947,9,1,-1
31,1707145787,43.083137,-76.1771162,134.856991,7,1,-1
31,1947862555,43.0379844,-76.1341113,999,-1,1,-1
32,1708706542,43.028402,-76.0401508,999,-1,1,-1
32,1707145787,43.0829945,-76.177011,134.7220267,7,1,-1
32,1947862555,43.0378224,-76.134115,127.1130215,1,1,-1
32,234184799,43.0348137,-76.1279118,132.4990095,1,1,-1
32,1458493498,43.0337074,-76.128647,133.2865552,1,1,-1
32,60575480,43.0494088,-76.2401094,137.0629289,9,1,-1
32,757675095,43.0752132,-76.17349,124.5282368,7,1,-1
32,1737904745,43.074423,-76.172389,137.0131066,7,1,-1
32,72524579,43.0363627,-76.1330484,129.3482985,1,1,-1
33,1737904745,43.0742758,-76.1722969,122.5476414,7,1,-1
33,1707145787,43.0828519,-76.176906,134.585738,7,1,-1
