TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished
150,855323113,43.0796799,-76.1483725,133.3583234,6,1
150,2014572005,43.051301,-76.2426942,999,-1,1
150,432814178,43.0048108,-76.0402463,999,-1,1
150,265804194,43.0176831,-76.1334907,138.15107,5,1
150,533586463,43.0329822,-76.1309647,133.4095713,3,1
150,1581941446,43.0426955,-76.2376469,999,-1,1
150,581385853,43.0282896,-76.1344985,136.9496482,3,1
150,1233186384,43.0827884,-76.1462119,133.710886,6,1
150,1917132249,43.0827768,-76.1543352,137.6595685,6,1
160,533586463,43.0313619,-76.1309647,134.8320556,3,1
160,1581941446,43.0410752,-76.2376469,999,-1,1
160,855323113,43.0796799,-76.1461621,131.8977945,6,1
160,432814178,43.0046488,-76.0422332,999,-1,1
160,1233186384,43.0827884,-76.1440014,132.5453984,6,1
160,265804194,43.0160628,-76.1334907,137.0560816,5,1
160,2014572005,43.051301,-76.2404849,999,-1,1
160,319618935,43.0809626,-76.1575068,135.8228673,7,1
160,581385853,43.0266693,-76.1344985,138.0794436,3,1
160,2027308069,43.0821702,-76.17096,133.4761383,7,1
160,977034077,43.035993,-76.1337889,129.7002167,3,1
160,1808679382,43.0496715,-76.2397533,999,-1,1
160,1887555076,43.0806513,-76.1797087,133.1876161,7,1
160,1917132249,43.0827768,-76.1521248,136.6498217,6,1
170,581385853,43.0250491,-76.1344985,139.1192355,3,1
170,432814178,43.0046488,-76.0444408,999,-1,1
170,265804194,43.0144425,-76.1334907,135.8669114,5,1
170,319618935,43.0809626,-76.1552964,137.5578544,6,1
170,1581941446,43.0394549,-76.2376469,999,-1,1
170,1233186384,43.0827884,-76.141791,131.381947,6,1
170,533586463,43.0297417,-76.1309647,136.1217769,3,1
170,2027308069,43.0821702,-76.1687496,133.653447,7,1
170,2014572005,43.051301,-76.2382755,999,-1,1
170,855323113,43.0796799,-76.1439518,130.31598,6,1
170,1887555076,43.0806513,-76.1774983,132.5932185,7,1
170,1917132249,43.0827768,-76.1499143,135.587818,6,1
170,1808679382,43.0496715,-76.2375441,999,-1,1
170,977034077,43.0343727,-76.1337889,131.5981397,3,1
180,2014572005,43.051301,-76.2360662,999,-1,1
180,533586463,43.0281214,-76.1309647,137.3002428,3,1
180,432814178,43.0046488,-76.0466485,999,-1,1
180,2027308069,43.0821702,-76.1665392,999,-1,1
180,1581941446,43.0378347,-76.2376469,999,-1,1
180,581385853,43.0234288,-76.1344985,999,-1,1
180,265804194,43.0128223,-76.1334907,134.5674541,5,1
180,1233186384,43.0827884,-76.1395805,130.2704723,6,1
180,319618935,43.0809626,-76.153086,136.4809951,6,1
180,855323113,43.0796799,-76.1417415,128.6194352,6,1
180,1917132249,43.0827768,-76.1477039,134.4769148,6,1
180,977034077,43.0327525,-76.1337889,999,-1,1
180,1887555076,43.0806513,-76.1752879,132.1664242,7,1
180,1808679382,43.0496715,-76.2353348,999,-1,1
190,581385853,43.0218085,-76.1344985,138.7831596,0,1
190,533586463,43.0265012,-76.1309647,138.6727904,0,1
190,1233186384,43.0827884,-76.1373701,129.2867453,6,1
190,432814178,43.0046488,-76.0488561,999,-1,1
190,1581941446,43.0362144,-76.2376469,999,-1,1
190,2014572005,43.051301,-76.2338569,999,-1,1
190,2027308069,43.0821702,-76.1643287,134.4817784,7,1
190,265804194,43.011202,-76.1334907,133.1378421,5,1
190,855323113,43.0796799,-76.1395311,126.8455289,6,1
190,319618935,43.0809626,-76.1508756,135.3291222,6,1
190,1917132249,43.0827768,-76.1454934,133.3265102,6,1
190,1405662074,43.0355594,-76.1316791,130.6201919,3,1
190,1808679382,43.0496715,-76.2331255,999,-1,1
190,1242667807,43.0773543,-76.1737903,128.1291832,7,1
190,1887555076,43.0806513,-76.1730775,131.9450317,7,1
190,977034077,43.0311322,-76.1337889,999,-1,1
200,432814178,43.0046488,-76.0510638,999,-1,1
200,855323113,43.0796799,-76.1373208,125.097235,6,1
200,319618935,43.0809626,-76.1486653,134.097124,6,1
200,1581941446,43.0345942,-76.2376469,999,-1,1
200,2014572005,43.051301,-76.2316476,999,-1,1
200,1233186384,43.0827884,-76.1351596,128.5301648,6,1
200,265804194,43.0095817,-76.1334907,131.5537653,5,1
200,533586463,43.0248809,-76.1309647,138.1016477,0,1
200,581385853,43.0211604,-76.1331736,999,-1,1
200,2027308069,43.0821702,-76.1621183,999,-1,1
